Período,Item,Tipo de Item,Valor Total,Fatura- Invoice,Reciibo,Nota Fiscal,Recibo Quitação,
,"1,06",,1451,,,,,
2024,,,,,,,,
"Feb 07, 2024",ChatGPT Plus,Subscription,,Invoice-D032BD1F-0001.pdf,Receipt-2273-5081-9219.pdf,,,
28 de mai. de 2024,ChatGPT Plus,Subscription,,,,,,"95,99"
14 de junho de 2024,Colab Computation Units,Credits,58,,,,,
27 de jun. de 2024,ChatGPT Plus,Subscription,,,,,,"95,99"
27 de jul. de 2024,ChatGPT Plus,Subscription,,,,,,"95,99"
27 de ago. de 2024,ChatGPT Plus,Subscription,,,,,,"95,99"
27 de set. de 2024,ChatGPT Plus,Subscription,,,,,,"95,99"
27 de out. de 2024,ChatGPT Plus,Subscription,"95,99",,,,,"95,99"
27 de nov. de 2024,ChatGPT Plus,Subscription,"95,99",,,,,"95,99"
13 de novembro de 2024,Colab Computation Units,Credits,58,,,,,
27 de dez. de 2024,ChatGPT Plus,Subscription,"95,99",,,,,"95,99"
2025,,,,,,,,
27 de jan. de 2025,ChatGPT Plus,Subscription,"95,99",,,,,"95,99"
12 de fevereiro de 2025,Colab Computation Units,Credits,58,,,,,
27 de fev. de 2025,ChatGPT Plus,Subscription,"95,99",,,,,"95,99"
4 de setembro de 2025,Colab Computation Units,Credits,58,,,,,
30 de set. de 2025,Claude Pro,Subscription,55,Invoice-ABJMKB1V-0001.pdf,Receipt-2372-1697-6920.pdf,,,
30 de out. de 2025,Claude Pro,Subscription,55,Invoice-ABJMKB1V-0002.pdf,Receipt-2054-3394-8969.pdf,,,
31 de out. de 2025,Claude extra usage,Credits,50,Invoice-ABJMKB1V-0003.pdf,Receipt-2175-1352-8691.pdf,,,
14 de nov. de 2025,Claude extra usage,Credits,50,Invoice-ABJMKB1V-0004.pdf,Receipt-2938-9845-2938.pdf,,,
2025-11-15,GitHub Copilot Usage,Credits,"62,34",INV107744140.pdf,github-MarkSant-receipt-2025-11-15.pdf,,,
25 de nov. de 2025,Claude extra usage,Credits,5,Invoice-ABJMKB1V-0005.pdf,Receipt-2385-0719-8540.pdf,,,
27 de novembro de 2025,Colab Pro,Subscription,58,,,,,
28 de novembro de 2025,Colab Computation Units,Credits,58,,,,,
30 de nov. de 2025,Claude Pro,Subscription,55,Invoice-ABJMKB1V-0006.pdf,Receipt-2401-0942-4083.pdf,,,
1 de dez. de 2025,Claude extra usage,Credits,"4,65",Invoice-ABJMKB1V-0007.pdf,Receipt-2516-3001-0591.pdf,,,
19 de dezembro de 2025,Colab Computation Units,Credits,58,,,,,
2025-12-20,GitHub Copilot Usage,Credits,"17,44",INV112499063.pdf,github-MarkSant-receipt-2025-12-20.pdf,,,
21 de dezembro de 2025,Colab Computation Units,Credits,58,,,,,
28 de dez. de 2025,Claude extra usage,Credits,10,Invoice-ABJMKB1V-0008.pdf,Receipt-2304-5118-4501.pdf,,,
29 de dez. de 2025,Claude extra usage,Credits,20,Invoice-ABJMKB1V-0009.pdf,Receipt-2039-9670-9967.pdf,,,
29 de dez. de 2025,Claude extra usage,Credits,20,Invoice-ABJMKB1V-0010.pdf,Receipt-2789-2057-3424.pdf,,,
2026,,,,,,,,
1 de jan. de 2026,Claude extra usage,Credits,"6,22",Invoice-ABJMKB1V-0011.pdf,Receipt-2041-2294-0340.pdf,,,
2026-01-20,GitHub Copilot Usage,Credits,"35,71",INV116651316.pdf,github-MarkSant-receipt-2026-01-20.pdf,,,
04/02/2026,Mini-Simpósio,,"60,69",,,,,
